Name,Status,Epic,Epic fase,Story points,Epic Date
Multi-tenancy backend,In progress,Multi-tenancy (https://app.notion.com/p/Multi-tenancy-3764298f1f9180a1806cd83bf5ad1281?pvs=21),Voor Demo,,"June 26, 2026 → July 3, 2026"
Multi-tenancy Frontend,Not started,Multi-tenancy (https://app.notion.com/p/Multi-tenancy-3764298f1f9180a1806cd83bf5ad1281?pvs=21),Voor Demo,,"June 26, 2026 → July 3, 2026"
Marketing website opzet,Done,Marketing website (https://app.notion.com/p/Marketing-website-3794298f1f9180d780cdce02c3713aeb?pvs=21),Voor Demo,,"June 15, 2026 → June 30, 2026"
Tekst & afbeeldingen checken,Not started,Marketing website (https://app.notion.com/p/Marketing-website-3794298f1f9180d780cdce02c3713aeb?pvs=21),Voor Demo,,"June 15, 2026 → June 30, 2026"
Contactgegevens & voorwaarden,Not started,Marketing website (https://app.notion.com/p/Marketing-website-3794298f1f9180d780cdce02c3713aeb?pvs=21),Voor Demo,,"June 15, 2026 → June 30, 2026"
Publiceren,Not started,Marketing website (https://app.notion.com/p/Marketing-website-3794298f1f9180d780cdce02c3713aeb?pvs=21),Voor Demo,,"June 15, 2026 → June 30, 2026"
Render set-up,Not started,Deployment v0.1 (https://app.notion.com/p/Deployment-v0-1-3764298f1f91807aa939e517591b68b9?pvs=21),Voor Demo,,"June 22, 2026 → July 9, 2026"
S3 Bucket,Not started,Deployment v0.1 (https://app.notion.com/p/Deployment-v0-1-3764298f1f91807aa939e517591b68b9?pvs=21),Voor Demo,,"June 22, 2026 → July 9, 2026"
Domain & SSL,Not started,Deployment v0.1 (https://app.notion.com/p/Deployment-v0-1-3764298f1f91807aa939e517591b68b9?pvs=21),Voor Demo,,"June 22, 2026 → July 9, 2026"
Determine demo content,Not started,Demo content & Wow (https://app.notion.com/p/Demo-content-Wow-3764298f1f9180a7b37ac95e9f395b02?pvs=21),Voor Demo,,"July 9, 2026 → July 14, 2026"
Create demo content,Not started,Demo content & Wow (https://app.notion.com/p/Demo-content-Wow-3764298f1f9180a7b37ac95e9f395b02?pvs=21),Voor Demo,,"July 9, 2026 → July 14, 2026"
Mockup AI Assistant,Not started,Demo content & Wow (https://app.notion.com/p/Demo-content-Wow-3764298f1f9180a7b37ac95e9f395b02?pvs=21),Voor Demo,,"July 9, 2026 → July 14, 2026"
Demo presentation,Not started,Demo content & Wow (https://app.notion.com/p/Demo-content-Wow-3764298f1f9180a7b37ac95e9f395b02?pvs=21),Voor Demo,,"July 9, 2026 → July 14, 2026"
Progress timeline,Not started,Leerling dashboard v0.1 (https://app.notion.com/p/Leerling-dashboard-v0-1-3764298f1f9180dd83b5e47fa62b720c?pvs=21),Voor Demo,,"July 7, 2026 → July 10, 2026"
Mobile-friendly,Not started,Leerling dashboard v0.1 (https://app.notion.com/p/Leerling-dashboard-v0-1-3764298f1f9180dd83b5e47fa62b720c?pvs=21),Voor Demo,,"July 7, 2026 → July 10, 2026"
UX,Not started,Docent dashboard v0.1 (https://app.notion.com/p/Docent-dashboard-v0-1-3764298f1f91805f8f9cf5ab6990b369?pvs=21),Voor Demo,,"July 3, 2026 → July 7, 2026"
Student list,Not started,Docent dashboard v0.1 (https://app.notion.com/p/Docent-dashboard-v0-1-3764298f1f91805f8f9cf5ab6990b369?pvs=21),Voor Demo,,"July 3, 2026 → July 7, 2026"
Recommendations,Not started,Docent dashboard v0.1 (https://app.notion.com/p/Docent-dashboard-v0-1-3764298f1f91805f8f9cf5ab6990b369?pvs=21),Voor Demo,,"July 3, 2026 → July 7, 2026"
Dashboard layout,Not started,Docent dashboard v0.1 (https://app.notion.com/p/Docent-dashboard-v0-1-3764298f1f91805f8f9cf5ab6990b369?pvs=21),Voor Demo,,"July 3, 2026 → July 7, 2026"
Take quiz,Not started,Lesstof en feedback v0.1 (https://app.notion.com/p/Lesstof-en-feedback-v0-1-3764298f1f91804092f2e5338700267a?pvs=21),Voor Demo,,"July 2, 2026 → July 7, 2026"
Materials feedback,Not started,Lesstof en feedback v0.1 (https://app.notion.com/p/Lesstof-en-feedback-v0-1-3764298f1f91804092f2e5338700267a?pvs=21),Voor Demo,,"July 2, 2026 → July 7, 2026"
Plan quizzes,Not started,Lesstof en feedback v0.1 (https://app.notion.com/p/Lesstof-en-feedback-v0-1-3764298f1f91804092f2e5338700267a?pvs=21),Voor Demo,,"July 2, 2026 → July 7, 2026"
AI feedback aan student,Not started,Lesstof en feedback v0.2 (https://app.notion.com/p/Lesstof-en-feedback-v0-2-3764298f1f918083b913e1c3694b3378?pvs=21),MVP,,
Misconcepties herkennen,Not started,AI features (https://app.notion.com/p/AI-features-3804298f1f91802f8fd6f5e56ed4b4a3?pvs=21),Ongepland,,
Herinstructie / alternatieve uitleg,Not started,AI features (https://app.notion.com/p/AI-features-3804298f1f91802f8fd6f5e56ed4b4a3?pvs=21),Ongepland,,
Open antwoorden beoordelen tegen een rubric,Not started,AI features (https://app.notion.com/p/AI-features-3804298f1f91802f8fd6f5e56ed4b4a3?pvs=21),Ongepland,,
Progressieve hints,Not started,AI features (https://app.notion.com/p/AI-features-3804298f1f91802f8fd6f5e56ed4b4a3?pvs=21),Ongepland,,
Vraagkwaliteit monitoren,Not started,AI features (https://app.notion.com/p/AI-features-3804298f1f91802f8fd6f5e56ed4b4a3?pvs=21),Ongepland,,
